Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15
t19,s1,seg,TMod10,1.00286289333599,157.611736770079,158.614599663415,S2I,5.41271260324033,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t19,s1,seg,TMod10,1.083191435755,159.547256611841,160.630448047596,S2I,0.396122190959247,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t19,s1,seg,TMod10,1.08321163195069,161.52296721164,162.606178843591,S2I,1.63751046179325,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t19,s1,seg,TMod10,1.11313444608822,163.528789344069,164.641923790157,S2I,2.91660673553638,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t19,s1,seg,TMod10,1.12318288051756,165.524369026185,166.647551906703,S2I,4.17678004689071,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t19,s1,seg,TMod10,1.05306070015649,167.539974393876,168.593035094033,S2I,5.39916318469038,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t19,s1,seg,TMod10,1.07295924905338,169.485699935525,170.558659184579,S2I,0.351015918026512,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t19,s1,seg,TMod10,1.06288068584399,171.531420477811,172.594301163655,S2I,1.63004749538789,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t19,s1,seg,TMod10,1.08306429904769,173.506913554651,174.589977853699,S2I,2.88396814106392,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t19,s1,seg,TMod10,1.00284004845889,175.602997115231,176.60583716369,S2I,4.15056990085179,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,int,TMod10,0.521415084454929,6.66949159555952,7.19090668001445,I2S,4.51817991971663,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,int,TMod10,2.19637720004539,11.9057619080413,14.1021391080867,I2S,2.57745001719372,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,int,TMod10,1.96550291337189,16.1982547839289,18.1637576973008,I2S,5.12944024150543,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,int,TMod10,1.49404857878108,24.4320446064521,25.9260931852332,I2S,3.72347416304342,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,int,TMod10,2.87814212226658,28.3431409585173,31.2212830807839,I2S,0.767354790908843,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,int,TMod10,0.76215835736366,34.6510329360317,35.4131912933954,I2S,3.40120839996142,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,int,TMod10,1.40407254605088,43.2578792472777,44.6619517933286,I2S,2.92919070106219,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,int,TMod10,0.882411796425004,46.6775674246601,47.5599792210851,I2S,4.75007503645048,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,int,TMod10,1.41388855871628,48.1817972030549,49.5956857617712,I2S,6.02914717906729,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,int,TMod10,4.28214613368618,55.3018003417528,59.583946475439,I2S,6.02177116792739,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,int,TMod10,0.752040063933237,64.6584684464324,65.4105085103656,I2S,3.39952275766993,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,int,TMod10,4.16176688228734,65.7214196534187,69.883186535706,I2S,6.20978924292633,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,int,TMod10,4.31207821820863,74.7368558365852,79.0489340547938,I2S,5.68561294987174,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,int,TMod10,2.38687234118697,84.6446373640792,87.0315097052662,I2S,4.41802784674194,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,int,TMod10,0.0802255749586038,90.0298900366761,90.1101156116347,I2S,0.0691876793114119,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,int,TMod10,4.43260182274389,95.1344891074696,99.5670909302135,I2S,6.01118051651682,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,int,TMod10,2.41702857034397,105.153487766889,107.570516337233,I2S,4.75669570178663,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,int,TMod10,2.57719002070371,115.633518531336,118.21070855204,I2S,5.15894033357126,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,int,TMod10,4.16202678414993,125.170820736908,129.332847521058,I2S,5.86400104184608,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,int,TMod10,2.0858960703772,135.229716481845,137.315612552222,I2S,4.5965349301139,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,int,TMod10,1.82520524796564,144.265746161633,146.090951409598,I2S,3.8270576403533,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,int,TMod10,0.661866042297333,149.570798752859,150.232664795156,I2S,0.146187602242129,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,int,TMod10,2.73781962547218,154.153975455323,156.891795080795,I2S,4.33024255917463,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,int,TMod10,6.10739475380979,159.529261140444,165.636655894254,I2S,3.54161534964015,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,int,TMod10,1.08314905685256,169.417534468434,170.500683525286,I2S,0.314588736962484,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,seg,TMod10,5.76679090087418,0.912812366412254,6.67960326728644,S2I,4.19691851068029,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,seg,TMod10,4.70484751707409,7.21095421721111,11.9158017342852,S2I,1.20373373083299,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,seg,TMod10,2.14622740054619,14.0620423782384,16.2082697787846,S2I,3.90077094570664,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,seg,TMod10,6.26828690915136,18.1637772313261,24.4320641404775,S2I,2.78474802879254,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,seg,TMod10,2.3669360485801,25.976227092644,28.3431631412241,S2I,5.24216400643413,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,seg,TMod10,3.3395420628658,31.3215316926362,34.661073755502,S2I,2.92863901362506,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,seg,TMod10,7.81462707725586,35.4432740216434,43.2579010988993,S2I,2.04699963168484,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,seg,TMod10,1.98543655729736,44.6619736449502,46.6474102022476,S2I,4.17669101135575,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,seg,TMod10,0.571666858159006,47.5900444018189,48.1617112599779,S2I,5.12815442701353,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,seg,TMod10,5.69608435517875,49.6157687251107,55.3118530802894,S2I,3.33753572279712,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,seg,TMod10,5.04445381046389,59.6340813761053,64.6785351865692,S2I,2.93961035433743,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,seg,TMod10,0.300903763156384,65.4405885899323,65.7414923530887,S2I,3.60748603942108,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,seg,TMod10,0.0802004124852829,69.5924033835472,69.6726037960325,S2I,6.07747620534008,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
t20,s1,seg,TMod10,4.84360894738347,69.8731937235571,74.7168026709405,S2I,2.9636545238919,fast,2.8528119564782,0.632686142962847,0.991980736081493,5.4689341168991,3.27026839205296
